stop_id,stop_name,stop_lat,stop_lon,mode,nearest_metro_id,nearest_metro_name,dist_to_metro_m,in_walk_zone,in_feeder_zone,route_diversity,Morning_freq,Midday_freq,Evening_freq
RgqMpbyP,Charminar,17.3586779379233,78.4740276935276,bus,MGB,Mahatma Gandhi Bus Station,3604.094111505,False,False,61.0,13.333333333333334,18.666666666666668,48.25
ZesADyKB,Shahalibanda,17.3547499301873,78.4730243996454,bus,MGB,Mahatma Gandhi Bus Station,4190.744671799262,False,False,54.0,46.666666666666664,35.333333333333336,33.5
CSCQevOc,Kilwat,17.3601274663828,78.4713749367239,bus,OMC,Osmania Medical College,3600.310983592371,False,False,46.0,49.333333333333336,34.666666666666664,34.0
RcYax5EA,Moosabowli,17.3642745722327,78.4666682034731,bus,GAB,Gandhi Bhavan,3360.5759550451967,False,False,43.0,50.666666666666664,36.0,33.75
UoDW1Rgg,City College,17.3674526453567,78.468290285547,bus,GAB,Gandhi Bhavan,2840.2363937272394,False,True,51.0,52.0,39.0,41.25
s4V6Ks4J,Madina,17.3703739526348,78.4755915518183,bus,OMC,Osmania Medical College,1956.8723974118368,False,True,85.0,50.333333333333336,52.666666666666664,61.25
RvkZZP0d,Afzalgunj,17.3734,78.4759,bus,OMC,Osmania Medical College,1541.3089065101442,False,True,82.0,75.33333333333333,69.66666666666667,90.5
RprCTGDf,Osmangunj,17.3801592673954,78.4749823530744,bus,GAB,Gandhi Bhavan,879.3689669458824,False,True,45.0,64.0,66.0,72.25
TB1fWaY6,Gandhibavan,17.3883456592865,78.4713882267767,bus,GAB,Gandhi Bhavan,469.031186499867,True,True,45.0,52.333333333333336,42.0,58.5
0Yr3hLAU,Nampally Railway Station,17.3921594944245,78.4700497866643,bus,NAM,Nampally,18.520210546499236,True,True,118.0,90.0,106.66666666666667,137.75
48NXpBnL,Nampally Public Garden,17.396278,78.470819,bus,ASM,Assembly,256.1677320952548,True,True,110.0,97.66666666666667,111.0,140.5
d2BfiTmX,Assembly,17.400243,78.470014,bus,ASM,Assembly,358.87402466113673,True,True,68.0,40.666666666666664,49.666666666666664,77.75
USn7tbeB,Lakdikapool,17.403609,78.464974,bus,LKP,Lakdi-ka-pul,65.06149949286737,True,True,132.0,113.33333333333333,117.0,171.5
FDukZMjs,Chintal Basthi,17.408898,78.460376,bus,KHA,Khairatabad,414.78372422972456,True,True,43.0,39.666666666666664,56.0,73.25
3UhhD7eG,Khairatabad,17.4141654370489,78.4586397146155,bus,KHA,Khairatabad,495.6079921193672,True,True,46.0,40.0,61.666666666666664,67.0
5g4se2Gv,Khairatabad,17.415785,78.457715,bus,IRM,Erra Manzil,692.6619839038492,True,True,31.0,3.3333333333333335,24.0,31.5
3OS7bBog,Irram Manzil,17.4207529745163,78.4556972452341,bus,IRM,Erra Manzil,121.96451578617942,True,True,55.0,29.0,53.0,71.25
fAXfvzII,Nims Hospital,17.4230084956761,78.4543890506029,bus,IRM,Erra Manzil,501.7046814226892,True,True,57.0,26.666666666666668,59.0,72.75
YY5SqKbk,Punjagutta,17.4263228789209,78.4526288578677,bus,PUN,Panjagutta,458.5894168825752,True,True,35.0,6.333333333333333,32.666666666666664,37.75
DqrzaqZu,Pvr Mall Bus Stop,17.429381,78.450406,bus,PUN,Panjagutta,103.08916188621558,True,True,55.0,23.666666666666668,52.333333333333336,58.75
8A7oqeuK,Ameerpet,17.431553,78.44765,bus,PUN,Panjagutta,614.7654223644835,True,True,67.0,31.333333333333332,83.66666666666667,93.0
Z9DjfexL,Maithrivanam,17.4400455444335,78.4423641399989,bus,SRN,S. R. Nagar,516.4017237700161,True,True,71.0,24.666666666666668,80.66666666666667,83.5
OCMZCOeo,Sr Nagar,17.4429652533606,78.4407372772693,bus,SRN,S. R. Nagar,23.284224227762806,True,True,76.0,19.666666666666668,79.33333333333333,89.0
C5vY3BnB,Esi Hospital,17.448534,78.437619,bus,ESI,ESI Hospital,24.388004220006255,True,True,77.0,15.0,71.0,81.0
zsjaTD5B,Erragadda,17.45617,78.433778,bus,ERA,Erragadda,134.35852884879972,True,True,86.0,14.0,70.0,84.75
M2X1Ipi9,Bharath Nagar,17.4672320840219,78.4287786531682,bus,BTN,Bharat Nagar,693.6851390223751,True,True,62.0,4.666666666666667,52.0,70.25
3DO7lfEx,Moosapet,17.4708131052901,78.4266757867274,bus,MSP,Moosapet,179.16145306629664,True,True,70.0,10.333333333333334,44.333333333333336,72.75
lRqEgaCy,Prashanth Nagar Bus Station,17.4747639938041,78.4255492638318,bus,MSP,Moosapet,437.97562190766087,True,True,47.0,2.6666666666666665,13.666666666666666,48.75
7XcsjLgc,Balnagar,17.4678792576715,78.4460842558063,bus,BTN,Bharat Nagar,2351.129703675018,False,True,76.0,10.0,21.666666666666668,47.25
odvoWxTv,Idpl Water Tank,17.4817254492905,78.4490239615526,bus,MSP,Moosapet,3600.2908934480993,False,False,75.0,8.0,19.0,48.25
eE6hZh6A,Idpl Colony,17.48791105,78.45000699,bus,MSP,Moosapet,4181.355651876392,False,False,78.0,6.0,19.0,42.75
m180Kw2G,Ganesh Nagar Chintal,17.49089,78.45099,bus,MSP,Moosapet,4560.910461516543,False,False,70.0,5.333333333333333,15.333333333333334,33.0
2mWqvKcq,Chintal,17.4954,78.452103,bus,MSP,Moosapet,5123.6350609872725,False,False,72.0,3.6666666666666665,13.666666666666666,31.0
xmSPBDXm,Quthubullapur X Road,17.4988973901797,78.4517598142825,bus,BLR,Balanagar,5390.537933628224,False,False,70.0,5.333333333333333,16.333333333333332,32.0
CSMDq4oC,Hmt,17.5028457131321,78.4502873428154,bus,BLR,Balanagar,5618.044769853634,False,False,38.0,0.6666666666666666,2.3333333333333335,5.75
WQorkUId,Gajularam X Road,17.510098,78.447706,bus,BLR,Balanagar,6191.949571336313,False,False,68.0,7.333333333333333,15.333333333333334,31.0
G1qKP8Cw,Shapur Nagar,17.5160012189185,78.44690233469,bus,KUK,Kukatpally,6854.165799017461,False,False,72.0,3.3333333333333335,13.333333333333334,24.25
U3va4YT2,Rythu Bazar,17.5176100977818,78.4465912079349,bus,KUK,Kukatpally,6987.546702564061,False,False,65.0,3.3333333333333335,14.333333333333334,22.25
r2e2nKni,Sub Station-Jeedimetla,17.522757333829,78.443386182835,bus,KUK,Kukatpally,7250.0276775463,False,False,69.0,2.3333333333333335,9.666666666666666,20.25
cR5ySdRd,Jeedimetla,17.5263603742832,78.4403121683698,bus,KPH,KPHB Colony,7363.723511001114,False,False,63.0,2.0,6.333333333333333,16.5
Tv9yBqAe,Saibaba Nagar,17.536032,78.434701,bus,KPH,KPHB Colony,7884.640865281455,False,False,60.0,5.333333333333333,6.0,9.25
R0Cm6Ou4,Suraram X Road,17.5414896115876,78.433754146099,bus,KPH,KPHB Colony,8478.293958200351,False,False,61.0,5.666666666666667,5.333333333333333,8.0
5E4f69aT,Bahadur Pally X Road,17.5605816217093,78.4307647277243,bus,KPH,KPHB Colony,10817.14067825236,False,False,55.0,5.666666666666667,4.0,8.0
o9dJvoaR,Gandimaisamma,17.5750752414753,78.4231942875569,bus,JNT,JNTU College,12433.164181946604,False,False,64.0,17.333333333333332,10.0,14.0
xOUsyoa9,Mehdipatnam Bus Depot,17.392219,78.440777,bus,LKP,Lakdi-ka-pul,3892.918847524776,False,False,53.0,12.333333333333334,17.666666666666668,10.25
NUmq3A4e,Mehdipatnam,17.394725176503,78.4401726329458,bus,LKP,Lakdi-ka-pul,3818.3587674578785,False,False,162.0,117.0,141.66666666666666,163.25
jQUipGEE,Nanal Nagar,17.3951285939056,78.4273423211172,bus,JR5,Road No 5 Jubilee Hills,5253.798081115211,False,False,68.0,29.666666666666668,35.333333333333336,29.0
JDSxM2WM,Langar House,17.37843771,78.4209751,bus,NAM,Nampally,7354.350829422156,False,False,62.0,29.666666666666668,34.0,28.25
7guxqq8S,Bapu-Ghat,17.374015,78.417593,bus,NAM,Nampally,8021.193458319687,False,False,59.0,30.0,29.0,30.0
832f0Tns,Tippu Khan Bridge,17.3710263938323,78.4046226919575,bus,JCP,Jubilee Hills Checkpost,8645.443069737043,False,False,46.0,21.0,19.0,24.25
1dz6Of8P,Suncity,17.36476225,78.39571808,bus,JCP,Jubilee Hills Checkpost,9828.339935813348,False,False,39.0,19.0,14.666666666666666,22.0
iXcFXrHu,Bandlaguda X Road,17.3595680039347,78.3879889547825,bus,JCP,Jubilee Hills Checkpost,10903.592191638692,False,False,42.0,18.333333333333332,17.333333333333332,27.75
VHOGEY4R,Peeram Cheru,17.3544984086384,78.3790216386236,bus,JCP,Jubilee Hills Checkpost,12090.321438272322,False,False,39.0,16.333333333333332,13.666666666666666,23.75
gg1O2ENL,Kalimandir,17.3523319158945,78.3770152830632,bus,JCP,Jubilee Hills Checkpost,12504.741602838829,False,False,39.0,16.0,14.666666666666666,25.0
54suq5uU,Appa Junction,17.3509353823721,78.358016599364,bus,RDG,Raidurg,13889.389575040252,False,False,34.0,14.0,15.666666666666666,23.0
qccftrvg,Golden Farms,17.3536900829418,78.3421030568725,bus,RDG,Raidurg,14130.53385912593,False,False,29.0,10.666666666666666,15.0,20.25
FLnjOddn,Osman Sagar X Rd,17.3531014085184,78.3308846424825,bus,RDG,Raidurg,14860.09925999475,False,False,30.0,6.666666666666667,14.333333333333334,20.25
BAsXhVXt,Aziz Nagar X Roads,17.3441405101479,78.3248162287542,bus,RDG,Raidurg,16448.94862608704,False,False,29.0,3.3333333333333335,15.333333333333334,19.0
T8BKEMqk,Himayathnagar X Road,17.3386325066237,78.3119065256401,bus,RDG,Raidurg,18073.33142817044,False,False,21.0,0.6666666666666666,9.666666666666666,11.5
cVsyEttO,Jbiet College Amdapur X Road Bus Stop,17.33140703,78.29720456,bus,RDG,Raidurg,20130.020585424827,False,False,20.0,0.3333333333333333,8.0,9.75
dHLhPczE,Decent Poultry,17.3310725785397,78.2931339740753,bus,RDG,Raidurg,20509.41007241128,False,False,20.0,0.3333333333333333,7.333333333333333,9.25
zGYSG7bl,Sathsang,17.3300279118566,78.2801198974909,bus,RDG,Raidurg,21781.230053344807,False,False,20.0,0.0,5.666666666666667,7.5
4HJn54j9,Moinabad Bus Stop,17.328394,78.272705,bus,RDG,Raidurg,22659.71573296148,False,False,20.0,0.0,4.0,7.75
lnjUAaN4,Ayaan College,17.31438034,78.25669684,bus,RDG,Raidurg,25753.912133049846,False,False,13.0,0.0,1.6666666666666667,5.75
wlPJRBNI,Kanakamamidi,17.313230608327,78.2489177584908,bus,RDG,Raidurg,26640.962621161445,False,False,13.0,0.0,0.6666666666666666,6.25
uCKYOKAS,Kethireddy Pally X Road,17.3101910558261,78.2288923504272,bus,RDG,Raidurg,29010.45015313662,False,False,12.0,0.0,0.3333333333333333,4.75
