stop_id,stop_name,stop_lat,stop_lon,LMCI_old,LMCI_new,LMCI_new2,LMCI_mean,Morning_LMCI,Midday_LMCI,Evening_LMCI,density_norm,walkzone_norm,Morning_freq_norm,stop_count_3km,stop_count_800m,demand_count,desert_severity,is_persistent_desert,priority_score,service_class,lmci_for_mclp,lmci_deficit,lmci_deficit_norm,candidate_equity_weight,covered_demand_points_if_selected,weighted_demand_if_selected,equity_weighted_candidate_score,candidate_rank
RDG,Raidurg,17.442,78.3772038,2.734352337226545,3.749811129038678,3.749811129038678,2.734352337226545,2.6665666051366914,3.035378702085962,2.501111704456984,0.3504559270516717,0.3571428571428571,0.1392860281838689,622.5,7,47,Persistent,True,6.135442089446057,Transit Desert,3.749811129038678,2.7135627311436923,0.44400563910393137,1.4154414661670223,35,35.0,49.54045131584578,1
MSH,Musheerabad,17.4178744,78.4995051,2.070094031544979,3.1133971213713707,3.1133971213713707,2.070094031544979,2.3542688768777458,2.0143671256960864,1.8416460920611053,0.2403039513677811,0.2857142857142857,0.2167587085811385,441.3,6,34,Persistent,True,7.074262099919407,Transit Desert,3.1133971213713707,3.3499767388109998,0.5481386318539906,1.4425160442820375,27,33.25,47.963658472377745,2
KHA,Khairatabad,17.4116323,78.4608678,3.7472385151098737,4.209177587839349,4.209177587839349,3.7472385151098737,3.762255931911927,3.882308710395584,3.59715090302211,0.2281458966565349,0.3571428571428571,0.5660958978715988,421.3,7,28,Persistent,True,4.703893843838434,Transit Desert,4.209177587839349,2.2541962723430213,0.3688419821956801,1.395898915370877,19,22.75,31.75670032468745,3
SUB,Sultan Bazar,17.3844473,78.4840241,4.9031991113926825,5.57841932376631,5.57841932376631,4.9031991113926825,5.355492687864929,4.973930324994154,4.380174321318963,0.2200607902735562,0.3571428571428571,0.9745114698385728,408.0,7,27,,False,3.070133407835316,Moderate,5.57841932376631,0.8849545364160605,0.14480033942452075,1.0289600678849042,19,23.75,24.437801612266476,4
MGB,Mahatma Gandhi Bus Station,17.3797886,78.4861571,1.5766460190962943,2.067245172802937,2.067245172802937,1.5766460190962943,1.6258312178972352,1.3586766654475984,1.745430173944049,0.1531914893617021,0.0714285714285714,0.1971112999150382,298.0,3,23,Persistent,True,7.771669816545243,Transit Desert,2.067245172802937,4.396128687379433,0.7193148347082278,1.4870218570241394,13,16.25,24.164105176642266,5
AME,Ameerpet,17.4357214,78.4447933,2.6171747053108043,2.9885318077229988,2.9885318077229988,2.6171747053108043,1.961578687766797,2.922438107116523,2.967507321049094,0.0778115501519756,0.3571428571428571,0.3038445199660153,174.0,7,35,Persistent,True,6.301053425701015,Transit Desert,2.9885318077229988,3.4748420524593717,0.5685696698956251,1.4478281141728624,15,16.0,23.1652498267658,6
SRN,S. R. Nagar,17.4431205,78.4407241,3.03757662778643,2.69489561194423,2.69489561194423,3.03757662778643,2.0235194314534146,3.821968119040195,3.267242332865679,0.1325227963525836,0.2857142857142857,0.2687977909940527,264.0,6,27,Persistent,True,5.706884359411932,Transit Desert,2.69489561194423,3.7684782482381403,0.6166157774259453,1.4603201021307457,12,14.0,20.44448142983044,7
JBS,JBS Parade Ground,17.4444775,78.497584,2.62560465981749,2.9702852029656563,2.9702852029656563,2.62560465981749,2.878632502911684,2.5497408306991147,2.4484406458416714,0.2936170212765957,0.2142857142857142,0.2990654205607477,529.0,5,18,Persistent,True,6.289139069628137,Transit Desert,2.9702852029656563,3.493088657216714,0.5715552634526776,1.4486043684976964,10,12.25,17.74540351409678,8
SCR,Secunderabad West,17.4338034,78.4995181,6.1723523164896,6.161456956578252,6.161456956578252,6.1723523164896,6.085051979901851,6.1408195592326,6.2911854103343465,0.443951367781155,0.0714285714285714,0.9484666423918762,776.3,3,37,,False,1.2763938111902695,Moderate,6.161456956578252,0.30191690360411805,0.04940103510506532,1.009880207021013,14,17.5,17.67290362286773,9
RTC,RTC Cross Roads,17.4070321,78.4968023,2.8427929941857832,3.425800129809873,3.425800129809873,2.8427929941857832,3.030015606452274,2.8704572584891297,2.6279061176159453,0.3618844984802431,0.5714285714285714,0.1622911356556216,641.3,10,23,Persistent,True,5.982179032241602,Transit Desert,3.425800129809873,3.0375737303724977,0.4970218119523309,1.4292256711076061,11,12.25,17.508014471068176,10
ASM,Assembly,17.3979907,78.4708797,3.284395078248476,3.372593306056588,3.372593306056588,3.284395078248476,3.3336368135219008,3.305322419561999,3.2142260016615265,0.2814589665653495,0.3571428571428571,0.3922997808880741,509.0,7,15,Persistent,True,5.358047019681512,Transit Desert,3.372593306056588,3.0907805541257827,0.5057277576502623,1.4314892169890683,10,11.25,16.104253691127017,11
MUN,Madhura Nagar,17.4369652,78.4390993,0.413836974936407,0.7681670983619681,0.7681670983619681,0.413836974936407,0.2439061237033001,0.5356651055838615,0.4619396955220594,0.0006079027355623,0.0714285714285714,0.0423595096492292,47.0,3,16,Persistent,True,9.415109408763184,Transit Desert,0.7681670983619681,5.695206761820402,0.9318759758486658,1.5422877537206532,9,10.25,15.808449475636696,12
LKP,Lakdi-ka-pul,17.4040433,78.4649442,6.336960334164561,6.226414036682479,6.226414036682479,6.336960334164561,6.331672490033994,6.287247979313184,6.391960533146508,0.6597568389057751,0.6428571428571429,0.5975077881619938,1131.3,11,27,,False,1.0437474151184278,Moderate,6.226414036682479,0.2369598234998911,0.038772458313753505,1.0077544916627508,15,15.25,15.368255997856949,13
KUK,Kukatpally,17.4849033,78.4117896,3.5573196315377182,3.245683133066311,3.245683133066311,3.5573196315377182,3.164280506396236,3.2086378746927444,4.299040513524174,0.1477203647416413,0.3571428571428571,0.517133956386293,289.0,7,12,Partial,False,4.972312991539346,Transit Desert,3.245683133066311,3.2176907271160595,0.5264933850008373,1.1052986770001674,11,13.5,14.92153213950226,14
HTC,HITEC City,17.4490055,78.3831376,1.7131670713554572,2.287410809512619,2.287410809512619,1.7131670713554572,1.7226075773500713,1.4952759672841092,1.921617669432192,0.129483282674772,0.3571428571428571,0.1795120767083384,259.0,7,21,Persistent,True,7.578719732796917,Transit Desert,2.287410809512619,4.175963050669751,0.6832903186305009,1.4776554828439301,10,10.0,14.776554828439302,15
CDP,Chikkadpally,17.4003634,78.4948964,3.1824807699035405,3.3162391804203777,3.3162391804203777,3.1824807699035405,3.038402745491287,3.4728372145626665,3.0362023496566675,0.2911854103343465,0.6428571428571429,0.2349046377406029,525.0,11,16,Persistent,True,5.502086155074188,Transit Desert,3.3162391804203777,3.147134679761993,0.514948679386132,1.4338866566403943,8,10.0,14.338866566403944,16
NAR,Narayanaguda,17.3943658,78.4899578,2.7655236577537785,3.630385792260094,3.630385792260094,2.7655236577537785,3.096871647949877,2.7397304172863595,2.4599689080250977,0.2311854103343465,0.9285714285714286,0.253093291926679,426.3,15,17,Persistent,True,6.091386547778694,Transit Desert,3.630385792260094,2.8329880679222765,0.463546563060839,1.4205221063958182,8,10.0,14.205221063958183,17
PRG,Parade Ground,17.4431943,78.4974687,5.037767094617727,5.400621359542034,5.400621359542034,5.037767094617727,5.136272435221291,4.89164973109233,5.085379117539558,0.40790273556231,1.0,0.5241896893524352,717.0,16,20,,False,2.879943666374596,Moderate,5.400621359542034,1.0627525006403369,0.17389246168531897,1.0347784923370638,11,13.5,13.96950964655036,18
IRM,Erra Manzil,17.4202292,78.4563489,3.769959173200288,3.6472890321534552,3.6472890321534552,3.769959173200288,3.6533151248927034,3.931356046747219,3.725206347960944,0.3527659574468085,0.5,0.3473713344146649,626.3,9,14,Persistent,True,4.671781925501909,Transit Desert,3.6472890321534552,2.8160848280289152,0.4607807770535202,1.4198030020339152,8,9.25,13.133177768813715,19
