stop_id,stop_name,stop_lat,stop_lon,stop_count_3km,stop_count_800m,density_norm,walkzone_norm,avg_Morning_freq,Morning_freq_norm,Morning_LMCI,avg_Midday_freq,Midday_freq_norm,Midday_LMCI,avg_Evening_freq,Evening_freq_norm,Evening_LMCI,LMCI_mean,LMCI,LMCI_old,temporal_gap,Morning_category,Midday_category,Evening_category,category,service_class,stop_count,demand_count,demand_norm,LMCI_new,LMCI_new2,desert_windows,n_desert_windows,desert_severity,is_persistent_desert,temporal_gap_flag,priority_score
MYP,Miyapur,17.4965452,78.3730262,381.3,4,0.20382978723404255,0.14285714285714285,8.49294532627866,0.203213712559507,1.9748609292653834,15.332451499118164,0.2575969804097359,2.192394000666299,24.987103174603174,0.3272710200296953,2.471090159146137,2.2127816963592735,1.9748609292653834,2.2127816963592735,-0.21753307140091582,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,381.3,1,0.02127659574468085,1.6708528571801589,1.6708528571801589,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,6.872596522192192
JNT,JNTU College,17.4987037,78.3888668,503.0,11,0.2778115501519757,0.6428571428571429,7.138888888888889,0.1514443500424809,2.6376922937869454,16.791666666666668,0.30605698471601994,3.256142832481101,26.8125,0.3704642687371256,3.513771968565523,3.1358690316111897,2.6376922937869454,3.1358690316111897,-0.6184505386941557,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,503.0,6,0.1276595744680851,2.6581707266684393,2.6581707266684393,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,5.567964191159723
KPH,KPHB Colony,17.4937602,78.4018258,291.0,8,0.14893617021276595,0.42857142857142855,6.590909090909091,0.13049355062948947,1.6952264821532164,7.954545454545454,0.012579407509906286,1.2235699096748835,14.170454545454545,0.07132327873890223,1.458545394590867,1.4591139288063222,1.6952264821532164,1.4591139288063222,0.4716565724783328,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,291.0,7,0.14893617021276595,1.8442654211241858,1.8442654211241858,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,7.937782121492294
KUK,Kukatpally,17.4849033,78.4117896,289.0,7,0.14772036474164132,0.35714285714285715,16.703703703703706,0.517133956386293,3.164280506396236,23.48148148148148,0.5282232984604203,3.2086378746927444,45.0,0.8008239581682776,4.299040513524174,3.5573196315377182,3.164280506396236,3.5573196315377182,-0.044357368296508604,Transit Desert,Transit Desert,Moderate,Transit Desert,Transit Desert,289.0,12,0.2553191489361702,3.245683133066311,3.245683133066311,"['Morning', 'Midday']",2,Partial,False,False,4.972312991539346
BLR,Balanagar,17.4767464,78.4221082,65.0,3,0.011550151975683891,0.07142857142857142,7.222222222222222,0.1546304163126593,0.7477009965576282,9.777777777777779,0.0731282889909219,0.4216924872706785,25.083333333333332,0.32954805542351095,1.4473715530010347,0.8722550122764471,0.7477009965576282,0.8722550122764471,0.32600850928694974,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,65.0,2,0.0425531914893617,0.7526046333861008,0.7526046333861008,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,8.767210808270468
MSP,Moosapet,17.4718855,78.4261182,274.0,6,0.1386018237082067,0.2857142857142857,14.666666666666666,0.4392523364485981,2.7357327500497117,29.61111111111111,0.7317860662096148,3.905867669093779,45.791666666666664,0.8195566823359566,4.256950133599146,3.632850184247545,2.7357327500497117,3.632850184247545,-1.170134919044067,Transit Desert,Transit Desert,Moderate,Transit Desert,Transit Desert,274.0,4,0.0851063829787234,2.5787205635883304,2.5787205635883304,"['Morning', 'Midday']",2,Partial,False,False,4.86556296119785
BTN,Bharat Nagar,17.4629092,78.4305364,405.3,5,0.218419452887538,0.21428571428571427,13.916666666666666,0.4105777400169924,2.948693938791374,22.6358024691358,0.5001386064345998,3.306937404461803,35.04079861111111,0.5651654665281665,3.5670448448360697,3.274225396029749,2.948693938791374,3.274225396029749,-0.3582434656704292,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,405.3,7,0.14893617021276595,2.7463230019135763,2.7463230019135763,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,5.37242019512461
ERA,Erragadda,17.4570487,78.4335811,311.0,6,0.16109422492401215,0.2857142857142857,8.083333333333332,0.18755310110450296,1.8413978147523586,12.1,0.15024844329832066,1.6921791835276292,16.9125,0.13620662335604503,1.6360119037585266,1.7231963006795048,1.8413978147523586,1.7231963006795048,0.14921863122472945,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,311.0,6,0.1276595744680851,1.840326431373359,1.840326431373359,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,7.564545064451023
ESI,ESI Hospital,17.4486969,78.4376283,257.3,4,0.1284498480243161,0.14285714285714285,9.33148148148148,0.23527329368450864,1.7261995577167584,20.82962962962963,0.44015626419551196,2.5457314397607718,29.69895833333333,0.4387647669853342,2.5401654509200604,2.2706988161325303,1.7261995577167584,2.2706988161325303,-0.8195318820440134,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,257.3,4,0.0851063829787234,1.614976284734686,1.614976284734686,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,6.790740186295383
SRN,S. R. Nagar,17.4431205,78.4407241,264.0,6,0.1325227963525836,0.2857142857142857,10.208333333333334,0.2687977909940527,2.0235194314534146,29.208333333333332,0.7184099628907478,3.821968119040195,35.65625,0.5797285163471187,3.267242332865679,3.03757662778643,2.0235194314534146,3.03757662778643,-1.7984486875867804,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,264.0,27,0.574468085106383,2.69489561194423,2.69489561194423,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,5.706884359411932
