lon,lat,type
78.38657816744903,17.50013189025455,business
78.38483668494855,17.43519895032514,business
78.37597964015765,17.446887885543063,business
78.37805439669586,17.443601185916467,business
78.38089552158958,17.450379431522638,business
78.38204379525038,17.449491639925427,business
78.49488985679616,17.423766819145516,business
78.54164740998519,17.420640132666147,business
78.35064045334782,17.435009638389225,business
78.37987458279524,17.444476962897316,business
78.36808069911099,17.45624195402235,business
78.37723637156208,17.447902300901347,business
78.37247438336229,17.449402933260632,business
78.37526048560306,17.448314658441802,business
78.37587580450341,17.448221277774618,business
78.37653206755989,17.44799777708212,business
78.37173741400022,17.450236143501552,business
78.37369894120462,17.449928509134594,business
78.37465675,17.45009155,business
78.374709,17.4486533,business
78.37422580688855,17.449491035395724,business
78.37211175,17.4498766,business
78.37325642854337,17.45042222487947,business
78.46481436151123,17.405150708685248,business
78.46704524020514,17.403326602801073,business
78.46685318856798,17.406745206692126,business
78.37394881410724,17.451974693078174,business
78.35545553120825,17.44760532418883,business
78.68049712738424,17.252835471493757,business
78.3519672238005,17.449259005693115,business
78.53499143981077,17.424229628915416,business
78.39830397455967,17.438933247238936,business
78.39813642448665,17.435402408626153,business
78.39731035000001,17.4353487,business
78.39853932250624,17.43500089998948,business
78.3817901633184,17.468237738478546,business
78.38255344630541,17.468068521842017,business
78.38285435729776,17.467978285871997,business
78.37857205406735,17.499695580362406,business
78.3743712193614,17.456844030360866,business
78.45956087794424,17.404715470360298,business
78.33731539479325,17.42480046271536,business
78.33886712526325,17.42000453717261,business
78.3439394829596,17.421334164480655,business
78.33860145452671,17.426616880450634,business
78.34714009752871,17.41850466892376,business
78.42677068904062,17.423904759920234,business
78.54827106509079,17.411224152952524,business
78.54040055311603,17.42352695982657,business
78.36488624611017,17.469477510691075,business
78.34168467888676,17.430320832519882,business
78.34338202661641,17.426337315196065,business
78.21081675323445,17.06729811935057,business
78.47398710835213,17.407797877485404,business
78.4964226481233,17.421046802756177,business
78.49414832090444,17.41876661137677,business
78.47583729943831,17.369289263936803,business
78.47667288357951,17.36989215388633,business
78.45716039466215,17.43566619774928,business
78.57513148885788,17.395304654582713,business
78.57102371668236,17.340564200431906,business
78.2973922,17.4975689,business
78.40326103443441,17.40563887521157,business
78.52107056364588,17.370678473707247,business
78.4865900980484,17.435271904880036,business
78.48580514512032,17.43404853569456,business
78.48599028396578,17.43482705998233,business
78.48493980946468,17.43971351573259,business
78.4902301968131,17.438487010261845,business
78.49878220751421,17.406766496644565,business
78.38184293155189,17.44025592177402,business
78.43138712864483,17.435303338253824,business
78.41679867170188,17.428762216156827,business
78.410629722025,17.493188426735568,business
78.47027413655728,17.40747278520531,business
78.46530720140986,17.407082814659848,business
78.477717470527,17.406734317405856,business
78.46244941678499,17.40776719166525,business
78.46287398509664,17.407404054217373,business
78.46365494488096,17.4070645107561,business
78.4659847534627,17.407645457550455,business
78.37849665141626,17.453767042985938,business
78.48592938291304,17.433366123467522,business
78.39436691048968,17.453476323673968,business
78.43818686764962,17.42995953437046,business
78.37838707536578,17.519932455153732,business
78.40290981848491,17.411562512185814,business
78.47658329484429,17.387994675824377,business
78.32742594924926,17.481558575868736,business
78.48893920264658,17.442504951562825,business
78.48643431042598,17.442564556870835,business
