stop_id,stop_name,stop_lat,stop_lon,LMCI_old,LMCI_new,LMCI_new2,LMCI_mean,Morning_LMCI,Midday_LMCI,Evening_LMCI,density_norm,walkzone_norm,Morning_freq_norm,stop_count_3km,stop_count_800m,demand_count,desert_severity,is_persistent_desert,priority_score,service_class,lmci_for_mclp,lmci_deficit,lmci_deficit_norm,candidate_equity_weight,selection_rank,k,marginal_demand_points,marginal_weighted_demand,cumulative_demand_points,cumulative_weighted_demand,coverage_pct
RDG,Raidurg,17.442,78.3772038,2.734352337226545,3.749811129038678,3.749811129038678,2.734352337226545,2.6665666051366914,3.035378702085962,2.501111704456984,0.3504559270516717,0.3571428571428571,0.1392860281838689,622.5,7,47,Persistent,True,6.135442089446057,Transit Desert,3.749811129038678,2.7135627311436923,0.44400563910393137,1.4154414661670223,1,5,35,35.0,35,35.0,0.5932706161539113
MSH,Musheerabad,17.4178744,78.4995051,2.070094031544979,3.1133971213713707,3.1133971213713707,2.070094031544979,2.3542688768777458,2.0143671256960864,1.8416460920611053,0.2403039513677811,0.2857142857142857,0.2167587085811385,441.3,6,34,Persistent,True,7.074262099919407,Transit Desert,3.1133971213713707,3.3499767388109998,0.5481386318539906,1.4425160442820375,2,5,27,33.25,62,68.25,1.156877701500127
KHA,Khairatabad,17.4116323,78.4608678,3.7472385151098737,4.209177587839349,4.209177587839349,3.7472385151098737,3.762255931911927,3.882308710395584,3.59715090302211,0.2281458966565349,0.3571428571428571,0.5660958978715988,421.3,7,28,Persistent,True,4.703893843838434,Transit Desert,4.209177587839349,2.2541962723430213,0.3688419821956801,1.395898915370877,3,5,19,22.75,81,91.0,1.5425036020001694
SUB,Sultan Bazar,17.3844473,78.4840241,4.9031991113926825,5.57841932376631,5.57841932376631,4.9031991113926825,5.355492687864929,4.973930324994154,4.380174321318963,0.2200607902735562,0.3571428571428571,0.9745114698385728,408.0,7,27,,False,3.070133407835316,Moderate,5.57841932376631,0.8849545364160605,0.14480033942452075,1.0289600678849042,4,5,19,23.75,100,114.75,1.9450800915331807
AME,Ameerpet,17.4357214,78.4447933,2.6171747053108043,2.9885318077229988,2.9885318077229988,2.6171747053108043,1.961578687766797,2.922438107116523,2.967507321049094,0.0778115501519756,0.3571428571428571,0.3038445199660153,174.0,7,35,Persistent,True,6.301053425701015,Transit Desert,2.9885318077229988,3.4748420524593717,0.5685696698956251,1.4478281141728624,5,5,15,16.0,115,130.75,2.2162895160606833
